requirement,dataset,source_file,Subjective,Ambiguous,Nonverifiable,Negative,Vague
"The TCS design shall provide protection against injury to TCS operators and maintenance personnel. [SSS357] The system design shall use MIL-STD-2036, Section 5.1.3.11 as a guide, with regard to personnel hazards, and MIL-STD-1472D, Section 5.13, as a guide for safety from a human engineering viewpoint. [SSS358]",DS2,1999 - tcs.xml,-,human,-,-,-
"The TCS design shall provide protection against injury to TCS operators and maintenance personnel. [SSS357] The system design shall use MIL-STD-2036, Section 5.1.3.11 as a guide, with regard to personnel hazards, and MIL-STD-1472D, Section 5.13, as a guide for safety from a human engineering viewpoint. [SSS358]",DS4,1999 - tcs,-,-,-,-,-
The TCS reliability will be considered in every phase of the design and development process and shall achieve a system reliability (Mean Time Between Failures MTBF) equal to or greater than that which is specified in the Predator and Outrider ORDs. [SSS410],DS2,1999 - tcs.xml,-,mean*equal,-,-,-
The TCS reliability will be considered in every phase of the design and development process and shall achieve a system reliability (Mean Time Between Failures MTBF) equal to or greater than that which is specified in the Predator and Outrider ORDs. [SSS410],DS4,1999 - tcs,-,-,-,-,-
"The TCS shall allow an Authorized Operator to execute a software debug capability and view the resulting debug diagnostic information. [SSS282] As a minimum, the TCS will restrict Operator access to this capability via password protection. [SSS283]",DS2,1999 - tcs.xml,-,-,-,-,-
"The TCS shall allow an Authorized Operator to execute a software debug capability and view the resulting debug diagnostic information. [SSS282] As a minimum, the TCS will restrict Operator access to this capability via password protection. [SSS283]",DS4,1999 - tcs,-,-,minimum*,-,-
"The TCS shall allow the operator to initiate the emergency recovery feature of the AV, if the AV has an emergency recovery feature. [SSS139]",DS2,1999 - tcs.xml,-,-,-,-,-
"The TCS shall allow the operator to initiate the emergency recovery feature of the AV, if the AV has an emergency recovery feature. [SSS139]",DS4,1999 - tcs,-,-,-,-,-
The TCS shall be able to access data storage devices. [SSS339],DS4,1999 - tcs,-,-,-,-,-
The TCS shall be able to access data storage devices. [SSS339],DS4,1999 - tcs,-,-,-,-,-
The TCS shall be air transportable by helicopter (CH-47/CH-53D) and C-130 drive-on/drive-off capable. [SSS522],DS2,1999 - tcs.xml,-,capable,-,-,-
The TCS shall be air transportable by helicopter (CH-47/CH-53D) and C-130 drive-on/drive-off capable. [SSS522],DS4,1999 - tcs,-,-,-,-,-
The TCS shall be capable of operating continuously in functional Operation Mode for a minimum of 72 hours. [SSS442],DS2,1999 - tcs.xml,-,capable,-,-,-
The TCS shall be capable of operating continuously in functional Operation Mode for a minimum of 72 hours. [SSS442],DS4,1999 - tcs,-,-,minimum*,-,-
The TCS shall be ground transportable. [SSS521],DS2,1999 - tcs.xml,-,-,-,-,-
The TCS shall be ground transportable. [SSS521],DS4,1999 - tcs,-,-,-,-,-
The TCS shall be rail transportable. [SSS524],DS2,1999 - tcs.xml,-,-,-,-,-
The TCS shall be rail transportable. [SSS524],DS4,1999 - tcs,-,-,-,-,-
The TCS shall be sea transportable. [SSS523],DS2,1999 - tcs.xml,-,-,-,-,-
The TCS shall be sea transportable. [SSS523],DS4,1999 - tcs,-,-,-,-,-
The TCS shall display the current search footprint and the search history of the payload on the map. [SSS157],DS2,1999 - tcs.xml,-,current,-,-,-
The TCS shall display the current search footprint and the search history of the payload on the map. [SSS157],DS4,1999 - tcs,-,-,-,-,-
The TCS shall have an interface to an uninterruptible power supply. [SSS344],DS2,1999 - tcs.xml,-,-,-,-,-
The TCS shall have an interface to an uninterruptible power supply. [SSS344],DS4,1999 - tcs,-,-,-,-,-
The TCS shall have sufficient throughput to support the processing requirements of the selected data link. [SSS382],DS2,1999 - tcs.xml,sufficient,sufficient,-,-,-
The TCS shall have sufficient throughput to support the processing requirements of the selected data link. [SSS382],DS4,1999 - tcs,-,-,sufficient*support*,-,-
The TCS shall have the functionality to allow the operator to generate a UAV mission plan. [SSS050],DS4,1999 - tcs,-,-,-,-,-
The TCS shall have the functionality to allow the operator to generate a UAV mission plan. [SSS050],DS4,1999 - tcs,-,-,-,-,-
The TCS shall have the functionality to receive and process UAV mission plans from service specific mission planning systems. [SSS053],DS4,1999 - tcs,-,-,-,-,-
The TCS shall have the functionality to receive and process UAV mission plans from service specific mission planning systems. [SSS053],DS4,1999 - tcs,-,-,-,-,-
The TCS shall have the functionality to transfer digital data as well as digital imagery to and from data storage devices. [SSS340],DS4,1999 - tcs,-,-,-,-,-
The TCS shall have the functionality to transfer digital data as well as digital imagery to and from data storage devices. [SSS340],DS4,1999 - tcs,-,-,-,-,-
The TCS shall provide a CD drive for the retrieval of TCS data. [SSS341],DS2,1999 - tcs.xml,-,-,-,-,-
The TCS shall provide a CD drive for the retrieval of TCS data. [SSS341],DS4,1999 - tcs,-,-,-,-,-
The TCS shall provide a CD drive for the retrieval of TCS data. [SSS341],DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide a RAID for storage and retrieval of TCS data, if required. [SSS343]",DS2,1999 - tcs.xml,-,-,-,-,-
"The TCS shall provide a RAID for storage and retrieval of TCS data, if required. [SSS343]",DS4,1999 - tcs,-,-,-,-,-
The TCS shall provide a tape drive for storage and retrieval of TCS data. [SSS342],DS2,1999 - tcs.xml,-,-,-,-,-
The TCS shall provide a tape drive for storage and retrieval of TCS data. [SSS342],DS4,1999 - tcs,-,-,-,-,-
The TCS shall provide a tape drive for storage and retrieval of TCS data. [SSS342],DS4,1999 - tcs,-,-,-,-,-
The TCS shall provide external interfaces to launch and recovery systems. [SSS289],DS4,1999 - tcs,-,-,-,-,-
The TCS shall provide external interfaces to launch and recovery systems. [SSS289],DS4,1999 - tcs,-,-,-,-,-
The TCS shall provide the functionality to control the ADT antenna. [SSS133] This control will including its pointing direction and mode of transmission (e.g. omni and directional).,DS2,1999 - tcs.xml,-,-,-,-,-
The TCS shall provide the functionality to control the ADT antenna. [SSS133] This control will including its pointing direction and mode of transmission (e.g. omni and directional).,DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the functionality to control the power, transmitter signal strength, and frequencies used by ADT for data link communication. [SSS134]",DS2,1999 - tcs.xml,-,signal,-,-,-
"The TCS shall provide the functionality to control the power, transmitter signal strength, and frequencies used by ADT for data link communication. [SSS134]",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the functionality to control, monitor, and display the operation of the Air Data Terminal (ADT). [SSS132] This control will include control of the ADT antenna and of the ADT transmitter and receiver.",DS2,1999 - tcs.xml,-,-,-,-,-
"The TCS shall provide the functionality to control, monitor, and display the operation of the Air Data Terminal (ADT). [SSS132] This control will include control of the ADT antenna and of the ADT transmitter and receiver.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AFATDS. [SSS295] The interface requirements and specifications will be defined in the TCS to AFTADS IDD, TCS 200.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AFATDS. [SSS295] The interface requirements and specifications will be defined in the TCS to AFTADS IDD, TCS 200.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AFATDS. [SSS295] The interface requirements and specifications will be defined in the TCS to AFTADS IDD, TCS 200.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AFMSS.[SSS564] The interface requirements and specifications will be defined in the  TCS  to AFMSS IDD, TCS 220.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AFMSS.[SSS564] The interface requirements and specifications will be defined in the  TCS  to AFMSS IDD, TCS 220.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AMPS.[SSS563] The interface requirements and specifications will be defined in the TCS to AMPS IDD, TCS 235.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AMPS.[SSS563] The interface requirements and specifications will be defined in the TCS to AMPS IDD, TCS 235.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AMPS.[SSS563] The interface requirements and specifications will be defined in the TCS to AMPS IDD, TCS 235.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ASAS. [SSS291] The interface requirements and specifications will be defined in the TCS to ASAS IDD, TCS 201.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ASAS. [SSS291] The interface requirements and specifications will be defined in the TCS to ASAS IDD, TCS 201.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ASAS. [SSS291] The interface requirements and specifications will be defined in the TCS to ASAS IDD, TCS 201.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ATWCS. [SSS305] The interface requirements and specifications will be defined in TCS ATWCS IDD, TCS203",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ATWCS. [SSS305] The interface requirements and specifications will be defined in TCS ATWCS IDD, TCS203",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with CARS. [SSS297] The interface requirements and specifications will be defined in the TCS to CARS IDD, TCS 217.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with CARS. [SSS297] The interface requirements and specifications will be defined in the TCS to CARS IDD, TCS 217.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with CCTV. [SSS298] The interface requirements and specifications will be defined in the TCS to CCTV IDD, TCS 205.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with CCTV. [SSS298] The interface requirements and specifications will be defined in the TCS to CCTV IDD, TCS 205.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with CCTV. [SSS298] The interface requirements and specifications will be defined in the TCS to CCTV IDD, TCS 205.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ETRAC. [SSS309] The interface requirements and specifications will be defined in the TCS ETRAC IDD, TCS 218.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ETRAC. [SSS309] The interface requirements and specifications will be defined in the TCS ETRAC IDD, TCS 218.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with GCS/ACS IPF. [SSS300] The interface requirements and specifications will be defined in the TCS to GCS/ACS IPF IDD, TCS 215.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with GCS/ACS IPF. [SSS300] The interface requirements and specifications will be defined in the TCS to GCS/ACS IPF IDD, TCS 215.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with GCS/ACS IPF. [SSS300] The interface requirements and specifications will be defined in the TCS to GCS/ACS IPF IDD, TCS 215.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with IAS. [SSS303] The interface requirements and specifications will be defined in the TCS to IAS IDD, TCS 206.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with IAS. [SSS303] The interface requirements and specifications will be defined in the TCS to IAS IDD, TCS 206.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JDISS. [SSS301] The interface requirements and specifications will be defined in the TCS to JDISS IDD, TCS 212.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JDISS. [SSS301] The interface requirements and specifications will be defined in the TCS to JDISS IDD, TCS 212.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JDISS. [SSS301] The interface requirements and specifications will be defined in the TCS to JDISS IDD, TCS 212.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JMCIS. [SSS293] The interface requirements and specifications will be defined in the TCS to JMCIS IDD, TCS 214.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JMCIS. [SSS293] The interface requirements and specifications will be defined in the TCS to JMCIS IDD, TCS 214.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JMCIS. [SSS293] The interface requirements and specifications will be defined in the TCS to JMCIS IDD, TCS 214.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSIPS-N. [SSS294] The interface requirements and specifications will be defined in the TCS to JSIPS-N IDD, TCS 210.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSIPS-N. [SSS294] The interface requirements and specifications will be defined in the TCS to JSIPS-N IDD, TCS 210.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSIPS-N. [SSS294] The interface requirements and specifications will be defined in the TCS to JSIPS-N IDD, TCS 210.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSTARS GSM. [SSS292] The interface requirements and specifications will be defined in the TCS to JSTARS IDD, TCS 209.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSTARS GSM. [SSS292] The interface requirements and specifications will be defined in the TCS to JSTARS IDD, TCS 209.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSTARS GSM. [SSS292] The interface requirements and specifications will be defined in the TCS to JSTARS IDD, TCS 209.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with MIES. [SSS308] The interface requirements and specifications will be defined in the TCS to MIES IDD, TCS 216.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with MIES. [SSS308] The interface requirements and specifications will be defined in the TCS to MIES IDD, TCS 216.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TAMPS.[SSS565] The interface requirements and specifications will be defined in the TCS  to TAMPS IDD, TCS 219",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TAMPS.[SSS565] The interface requirements and specifications will be defined in the TCS  to TAMPS IDD, TCS 219",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TBMCS. [SSS307] The interface requirements and specifications will be defined in TCS to TBMCS IDD, TCS 221.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TBMCS. [SSS307] The interface requirements and specifications will be defined in TCS to TBMCS IDD, TCS 221.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TEG. [SSS311] The interface requirements and specifications will be defined in TCS to TEG IDD, TCS 207.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TEG. [SSS311] The interface requirements and specifications will be defined in TCS to TEG IDD, TCS 207.",DS4,1999 - tcs,-,-,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with Trojan Spirit II. [SSS306] The interface requirements and specifications will be defined in the TCS to TROJAN SPIRIT II IDD, TCS 213.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with Trojan Spirit II. [SSS306] The interface requirements and specifications will be defined in the TCS to TROJAN SPIRIT II IDD, TCS 213.",DS4,1999 - tcs,-,-,-,-,-
"The TCS will have the functionality necessary to manage all aspects of payload product handling to include receiving, processing, displaying, and performing limited exploitation. The payload product includes the payload sensor output and the appropriate AV and payload telemetry data.",DS2,1999 - tcs.xml,-,necessary*appropriate,appropriate,-,-
"The TCS will have the functionality necessary to manage all aspects of payload product handling to include receiving, processing, displaying, and performing limited exploitation. The payload product includes the payload sensor output and the appropriate AV and payload telemetry data.",DS4,1999 - tcs,-,-,-,-,all*
"The TCS will provide the hardware and software necessary to allow the operator to conduct the following major functions 1) mission planning, 2) mission control and monitoring, 3) payload product management,",DS4,1999 - tcs,-,-,-,-,-
"The TCS will provide the hardware and software necessary to allow the operator to conduct the following major functions 1) mission planning, 2) mission control and monitoring, 3) payload product management,",DS4,1999 - tcs,-,-,-,-,-
"The TCS will provide the necessary hardware and software functionality to allow the TCS to integrate with Service Mission Planners. The Service Mission Planners will consist of AMPS, AFMSS, and TAMPS.",DS2,1999 - tcs.xml,-,necessary,-,-,-
"The TCS will provide the necessary hardware and software functionality to allow the TCS to integrate with Service Mission Planners. The Service Mission Planners will consist of AMPS, AFMSS, and TAMPS.",DS4,1999 - tcs,-,-,-,-,-
The change of driver identification during a journey or a Train Running Number shall be possible,DS1,2007-ertms.xml,-,-,-,-,-
The change of driver identification during a journey or a Train Running Number shall be possible,DS3,xml_ertms.json,-,-,-,-,-
The driver shall be able to consult train data when the train is stationary or moving.,DS1,2007-ertms.xml,-,-,-,-,-
The driver shall be able to consult train data when the train is stationary or moving.,DS3,xml_ertms.json,-,-,-,-,-
"The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside.",DS1,2007-ertms.xml,concern*static*dynamic,-,-,doesnot,this
"The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside.",DS3,xml_ertms.json,-,-,-,-,-
The driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed. This shall be shown to the driver in a way that is understandable and logical.,DS1,2007-ertms.xml,-,next,-,-,-
The driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed. This shall be shown to the driver in a way that is understandable and logical.,DS3,xml_ertms.json,-,-,-,-,-
The entry of driver identification and the selection of the language shall be possible.,DS1,2007-ertms.xml,-,-,-,-,-
The entry of driver identification and the selection of the language shall be possible.,DS3,xml_ertms.json,-,-,-,-,-
The format for service information description is defined,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
The format for service information description is defined,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
The format for service information description is defined,DS3,xml_peering.json,-,-,-,-,-
The format for service information description is defined,DS3,xml_peering.json,-,-,-,-,-
The format of service requirements is defined.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
